 ;Pedido Id;Data/Hora;Situação;Situação;Situação - Transporte;Marketplace;Forma de Pagamento;Forma de Recebimento;Serviço Transportadora;Valor Produto;Valor Desconto;Valor Acréscimo;Valor Frete;Valor Frete Transportadora;Valor Total;Valor Total Pedido;Loja;Obs.;Origem - Pedido
transporte;1333;14/09/2024 12:04;7;7 - Transporte;Em Transporte;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;13,8;0,42;0;11,18;11,18;24,56;24,56;1 - Dica de Madame;;Site
transporte;1332;14/09/2024 10:57;7;7 - Transporte;Em Transporte;;2 - Cartão - MasterCard;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;14,97;0;0;8,27;8,27;23,24;23,24;1 - Dica de Madame;;Site
pagamento-cancelado;1331;14/09/2024 09:21;2;2 - Cancelado Pagamento;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;50,7;0;0;5,48;25;50,7;50,7;1 - Dica de Madame;;Marketplace
pagamento-cancelado;1330;14/09/2024 08:10;2;2 - Cancelado Pagamento;Não Enviado;;1 - Boleto Bancário;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;13,8;0;0;9,93;9,93;23,73;23,73;1 - Dica de Madame;;Site
transporte;1329;14/09/2024 07:39;7;7 - Transporte;Em Transporte;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;6,9;0,21;0;10,11;10,11;16,8;16,8;1 - Dica de Madame;;Site
transporte;1328;14/09/2024 07:21;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;29,9;0;0;8,3;25;29,9;29,9;1 - Dica de Madame;;Marketplace
nota-fiscal-emitida;1327;14/09/2024 05:57;6;6 - Nota Fiscal Emitida;Não Enviado;7 - Mercado Livre;2 - Cartão - MasterCard;5 - Mercado Livre;;53,94;0;0;42,64;42,64;96,58;96,58;1 - Dica de Madame;;Marketplace
transporte;1326;14/09/2024 02:41;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;46,9;2;0;10,1;25;44,9;44,9;1 - Dica de Madame;;Marketplace
pagamento-cancelado;1325;13/09/2024 23:44;2;2 - Cancelado Pagamento;Não Enviado;1 - Lojas Americanas;2 - Cartão - MasterCard;3 - B2W;14 - PAC - B2W Entregas;17,9;0;0;21,99;21,99;39,89;39,89;1 - Dica de Madame;;Marketplace
transporte;1324;13/09/2024 22:01;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;81,7;10;0;11,77;25;71,7;71,7;1 - Dica de Madame;;Marketplace
nota-fiscal-emitida;1323;13/09/2024 21:15;6;6 - Nota Fiscal Emitida;Não Enviado;7 - Mercado Livre;;5 - Mercado Livre;;80,91;0;0;19,93;19,93;100,84;100,84;1 - Dica de Madame;;Marketplace
transporte;1322;13/09/2024 19:41;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;46,9;7;0;7,17;25;39,9;39,9;1 - Dica de Madame;;Marketplace
transporte;1321;13/09/2024 17:41;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;28,9;5;0;10,1;25;23,9;23,9;1 - Dica de Madame;;Marketplace
transporte;1320;13/09/2024 15:42;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;46,9;7;0;7,17;25;39,9;39,9;1 - Dica de Madame;;Marketplace
transporte;1319;13/09/2024 12:02;7;7 - Transporte;Em Transporte;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;8,98;0,27;0;8,5;8,5;17,21;17,21;1 - Dica de Madame;;Site
transporte;1318;13/09/2024 11:37;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;62,7;0;0;16,49;10,31;79,19;79,19;1 - Dica de Madame;1;Marketplace
transporte;1317;13/09/2024 11:19;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;71,9;17;0;13,42;25;54,9;54,9;1 - Dica de Madame;;Marketplace
transporte;1316;13/09/2024 11:14;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;24,9;0;0;16,42;10,47;41,32;41,32;1 - Dica de Madame;1;Marketplace
transporte;1315;13/09/2024 11:02;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;55,8;12;0;5,48;25;43,8;43,8;1 - Dica de Madame;;Marketplace
pagamento-cancelado;1314;13/09/2024 10:42;2;2 - Cancelado Pagamento;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;38,9;9;0;7,17;25;29,9;29,9;1 - Dica de Madame;;Marketplace
transporte;1313;13/09/2024 10:19;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;22,9;3;0;7,17;25;19,9;19,9;1 - Dica de Madame;;Marketplace
transporte;1312;13/09/2024 09:02;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;33,7;0;0;5,48;25;33,7;33,7;1 - Dica de Madame;;Marketplace
transporte;1311;13/09/2024 07:54;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;22,9;0;0;25;13,98;47,9;47,9;1 - Dica de Madame;1;Marketplace
transporte;1310;13/09/2024 01:14;7;7 - Transporte;Não Enviado;23 - Magazine Luiza;17 - Pix;29 - Magazine Luiza;16 - Magalu Entregas - Magalu Entregas;36,9;0;0;33,64;33,64;70,54;70,54;1 - Dica de Madame;;Marketplace
transporte;1309;12/09/2024 23:41;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;32,8;4;0;11,77;25;28,8;28,8;1 - Dica de Madame;;Marketplace
transporte;1308;12/09/2024 22:41;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;46,9;7;0;7,17;25;39,9;39,9;1 - Dica de Madame;;Marketplace
transporte;1307;12/09/2024 21:54;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;8,9;0;0;15,08;9,97;23,98;23,98;1 - Dica de Madame;1;Marketplace
entregue;1306;12/09/2024 21:28;8;8 - Entregue;Entregue;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;31,18;0,94;0;8,59;8,59;38,83;38,83;1 - Dica de Madame;;Site
transporte;1305;12/09/2024 20:13;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;22,9;0;0;16,58;10,95;39,48;39,48;1 - Dica de Madame;1;Marketplace
transporte;1304;12/09/2024 19:21;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;129,8;30;0;12,39;25;99,8;99,8;1 - Dica de Madame;;Marketplace
transporte;1303;12/09/2024 17:36;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;28,9;0;0;13,5;10,25;42,4;42,4;1 - Dica de Madame;;Marketplace
transporte;1302;12/09/2024 15:19;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;57,9;13;0;5,48;25;44,9;44,9;1 - Dica de Madame;;Marketplace
transporte;1301;12/09/2024 14:12;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;17,8;0;0;13,62;8,29;31,42;31,42;1 - Dica de Madame;;Marketplace
transporte;1300;12/09/2024 13:20;7;7 - Transporte;Em Transporte;;2 - Cartão - MasterCard;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;117,92;0;0;0;14,58;117,92;117,92;1 - Dica de Madame;;Site
transporte;1299;12/09/2024 13:02;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;351,8;93,8;0;0;25;258;258;1 - Dica de Madame;;Marketplace
entregue;1298;12/09/2024 12:02;8;8 - Entregue;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;57,9;13;0;0;25;44,9;44,9;1 - Dica de Madame;;Marketplace
transporte;1297;12/09/2024 11:37;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;8,9;0;0;16,08;10,97;24,98;24,98;1 - Dica de Madame;1;Marketplace
transporte;1296;12/09/2024 11:37;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;27,9;0;0;13,66;8,99;41,56;41,56;1 - Dica de Madame;1;Marketplace
transporte;1295;12/09/2024 09:54;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;14,9;0;0;13,62;10,06;28,52;28,52;1 - Dica de Madame;1;Marketplace
transporte;1294;12/09/2024 09:54;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;20,9;0;0;14,7;9,87;35,6;35,6;1 - Dica de Madame;;Marketplace
transporte;1293;12/09/2024 08:54;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;59,8;0;0;15,96;11,13;75,76;75,76;1 - Dica de Madame;1;Marketplace
entregue;1292;12/09/2024 08:37;8;8 - Entregue;Entregue;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;24,9;0;0;12,28;8,69;37,18;37,18;1 - Dica de Madame;1;Marketplace
entregue;1291;12/09/2024 08:13;8;8 - Entregue;Entregue;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;15,8;0;0;13,7;8,44;29,5;29,5;1 - Dica de Madame;1;Marketplace
transporte;1290;12/09/2024 06:15;7;7 - Transporte;Em Transporte;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;40,8;1,23;0;9,37;9,37;48,94;48,94;1 - Dica de Madame;;Site
entregue;1289;11/09/2024 23:22;8;8 - Entregue;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;59,7;9;0;2,99;25;50,7;50,7;1 - Dica de Madame;;Marketplace
transporte;1288;11/09/2024 22:01;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;23,9;4;0;11,77;25;19,9;19,9;1 - Dica de Madame;;Marketplace
transporte;1287;11/09/2024 21:54;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;15,8;0;0;14,8;8,81;30,6;30,6;1 - Dica de Madame;1;Marketplace
transporte;1286;11/09/2024 21:41;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;22,9;3;0;7,17;25;19,9;19,9;1 - Dica de Madame;;Marketplace
transporte;1285;11/09/2024 21:02;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;83,9;9;0;10,1;25;74,9;74,9;1 - Dica de Madame;;Marketplace
transporte;1284;11/09/2024 20:55;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;27,9;0;0;14,24;9,28;42,14;42,14;1 - Dica de Madame;;Marketplace
nota-fiscal-emitida;1283;11/09/2024 20:31;6;6 - Nota Fiscal Emitida;Não Enviado;7 - Mercado Livre;17 - Pix;5 - Mercado Livre;;53,94;0;0;42,64;42,64;96,58;96,58;1 - Dica de Madame;;Marketplace
transporte;1282;11/09/2024 20:16;7;7 - Transporte;Não Enviado;23 - Magazine Luiza;17 - Pix;29 - Magazine Luiza;16 - Magalu Entregas - Magalu Entregas;36,9;0;0;45,37;45,37;82,27;82,27;1 - Dica de Madame;;Marketplace
transporte;1281;11/09/2024 19:37;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;79,6;0;0;29,98;19,19;109,58;109,58;1 - Dica de Madame;1;Marketplace
pagamento-cancelado;1280;11/09/2024 19:10;2;2 - Cancelado Pagamento;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;328,9;89,9;0;0;25;239;239;1 - Dica de Madame;;Marketplace
transporte;1279;11/09/2024 19:09;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;328,9;89,9;0;7,17;25;239;239;1 - Dica de Madame;;Marketplace
transporte;1278;11/09/2024 18:37;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;28,9;0;0;13,57;8,56;42,47;42,47;1 - Dica de Madame;1;Marketplace
transporte;1277;11/09/2024 17:42;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;26,9;2;0;2,99;25;24,9;24,9;1 - Dica de Madame;;Marketplace
transporte;1276;11/09/2024 17:13;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;14,9;0;0;14,18;8,31;29,08;29,08;1 - Dica de Madame;1;Marketplace
pagamento-cancelado;1275;11/09/2024 15:45;2;2 - Cancelado Pagamento;Não Enviado;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;13,8;0,42;0;9,18;9,18;22,56;22,56;1 - Dica de Madame;;Site
transporte;1274;11/09/2024 15:38;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;87,6;0;0;13,62;11,07;101,22;101,22;1 - Dica de Madame;1;Marketplace
entregue;1273;11/09/2024 14:59;8;8 - Entregue;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;359,5;85;0;0;25;274,5;274,5;1 - Dica de Madame;;Marketplace
entregue;1272;11/09/2024 14:22;8;8 - Entregue;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;22,9;3;0;11,77;25;19,9;19,9;1 - Dica de Madame;;Marketplace
transporte;1271;11/09/2024 10:54;7;7 - Transporte;Em Transporte;;2 - Cartão - MasterCard;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;110,87;0;0;0;11,3;110,87;110,87;1 - Dica de Madame;;Site
transporte;1270;11/09/2024 10:36;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;19,9;0;0;13,72;10,13;33,62;33,62;1 - Dica de Madame;1;Marketplace
pagamento-cancelado;1269;11/09/2024 10:22;2;2 - Cancelado Pagamento;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;29,9;0;0;5,48;25;29,9;29,9;1 - Dica de Madame;;Marketplace
entregue;1268;11/09/2024 10:22;8;8 - Entregue;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;29,9;0;0;5,48;25;29,9;29,9;1 - Dica de Madame;;Marketplace
transporte;1267;11/09/2024 10:22;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;518,6;80;0;83,15;25;438,6;438,6;1 - Dica de Madame;;Marketplace
entregue;1266;11/09/2024 10:13;8;8 - Entregue;Entregue;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;23,7;0;0;13,71;8,51;37,41;37,41;1 - Dica de Madame;1;Marketplace
pagamento-cancelado;1265;11/09/2024 10:02;2;2 - Cancelado Pagamento;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;29,9;0;0;5,48;25;29,9;29,9;1 - Dica de Madame;;Marketplace
transporte;1264;11/09/2024 09:33;7;7 - Transporte;Em Transporte;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;17,9;0,54;0;10,58;10,58;27,94;27,94;1 - Dica de Madame;;Site
entregue;1263;11/09/2024 09:10;8;8 - Entregue;Entregue;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;13,8;0,42;0;8,41;8,41;21,79;21,79;1 - Dica de Madame;;Site
pagamento-cancelado;1262;11/09/2024 08:13;2;2 - Cancelado Pagamento;Não Enviado;;1 - Boleto Bancário;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;20,7;0;0;17,48;17,48;38,18;38,18;1 - Dica de Madame;;Site
transporte;1261;11/09/2024 07:12;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;12,9;0;0;13,54;10,03;26,44;26,44;1 - Dica de Madame;1;Marketplace
transporte;1260;11/09/2024 07:01;7;7 - Transporte;Em Transporte;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;27,6;0,84;0;8,77;8,77;35,53;35,53;1 - Dica de Madame;;Site
pagamento-cancelado;1259;10/09/2024 23:54;2;2 - Cancelado Pagamento;Não Enviado;23 - Magazine Luiza;17 - Pix;29 - Magazine Luiza;16 - Magalu Entregas - Magalu Entregas;9,9;0;0;25,95;25,95;35,85;35,85;1 - Dica de Madame;;Marketplace
transporte;1258;10/09/2024 23:36;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;14,9;0;0;13,62;10,06;28,52;28,52;1 - Dica de Madame;1;Marketplace
transporte;1257;10/09/2024 23:36;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;14,9;0;0;16,18;12,72;31,08;31,08;1 - Dica de Madame;;Marketplace
pagamento-cancelado;1256;10/09/2024 23:13;2;2 - Cancelado Pagamento;Não Enviado;26 - Amazon;;33 - Amazon;;24,9;0;0;16,42;0;41,32;41,32;1 - Dica de Madame;;Marketplace
transporte;1255;10/09/2024 22:42;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;65,8;16;0;11,22;25;49,8;49,8;1 - Dica de Madame;;Marketplace
pagamento-cancelado;1254;10/09/2024 22:36;2;2 - Cancelado Pagamento;Não Enviado;26 - Amazon;;33 - Amazon;;14,9;0;0;30,18;0;45,08;45,08;1 - Dica de Madame;;Marketplace
transporte;1253;10/09/2024 21:42;7;7 - Transporte;Não Enviado;67 - AliExpress;;92 - AliExpress;39 - AliExpress Entregas - AliExpress Entregas;7,9;0;0;22,86;25;30,76;30,76;1 - Dica de Madame;;Marketplace
transporte;1252;10/09/2024 21:37;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;14,9;0;0;13,62;10,06;28,52;28,52;1 - Dica de Madame;1;Marketplace
pagamento-cancelado;1251;10/09/2024 21:12;2;2 - Cancelado Pagamento;Não Enviado;26 - Amazon;;33 - Amazon;;24,9;0;0;15,28;0;40,18;40,18;1 - Dica de Madame;;Marketplace
transporte;1250;10/09/2024 20:54;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;14,9;0;0;13,62;10,06;28,52;28,52;1 - Dica de Madame;1;Marketplace
entregue;1249;10/09/2024 19:54;8;8 - Entregue;Entregue;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;11,9;0;0;13,03;8,3;24,93;24,93;1 - Dica de Madame;1;Marketplace
pagamento-cancelado;1248;10/09/2024 19:47;2;2 - Cancelado Pagamento;Não Enviado;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;6,9;0,21;0;11,26;11,26;17,95;17,95;1 - Dica de Madame;;Site
pagamento-cancelado;1247;10/09/2024 19:02;2;2 - Cancelado Pagamento;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;57,9;13;0;37,18;25;44,9;44,9;1 - Dica de Madame;;Marketplace
entregue;1246;10/09/2024 19:02;8;8 - Entregue;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;22,9;3;0;7,17;25;19,9;19,9;1 - Dica de Madame;;Marketplace
transporte;1245;10/09/2024 17:54;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;8,9;0;0;13,58;9,97;22,48;22,48;1 - Dica de Madame;1;Marketplace
transporte;1244;10/09/2024 17:37;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;44,5;0;0;30,75;20,67;75,25;75,25;1 - Dica de Madame;1;Marketplace
entregue;1243;10/09/2024 17:22;8;8 - Entregue;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;45,9;9;0;5,48;25;36,9;36,9;1 - Dica de Madame;;Marketplace
entregue;1242;10/09/2024 16:45;8;8 - Entregue;Entregue;;2 - Cartão - MasterCard;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;69,5;0;0;9,21;9,21;78,71;78,71;1 - Dica de Madame;;Site
entregue;1241;10/09/2024 16:18;8;8 - Entregue;Entregue;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;13,8;0,42;0;8,78;8,78;22,16;22,16;1 - Dica de Madame;;Site
entregue;1240;10/09/2024 15:36;8;8 - Entregue;Entregue;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;8,9;0;0;13,12;11,05;22,02;22,02;1 - Dica de Madame;1;Marketplace
entregue;1239;10/09/2024 14:42;8;8 - Entregue;Entregue;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;45,4;1,38;0;8,88;8,88;52,9;52,9;1 - Dica de Madame;;Site
transporte;1238;10/09/2024 13:54;7;7 - Transporte;Em Transporte;;13 - Crédito;44 - MagaPay;41 - J&T Express - J&T Express;29,94;0;0;14,09;14,09;44,03;44,03;1 - Dica de Madame;1;Manual
entregue;1237;10/09/2024 13:54;8;8 - Entregue;Entregue;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;8,9;0;0;13,12;9,12;22,02;22,02;1 - Dica de Madame;1;Marketplace
pagamento-cancelado;1236;10/09/2024 13:45;2;2 - Cancelado Pagamento;Não Enviado;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;13,8;0,42;0;20,92;20,92;34,3;34,3;1 - Dica de Madame;;Site
transporte;1235;10/09/2024 13:36;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;24,9;0;0;13,78;10,2;38,68;38,68;1 - Dica de Madame;1;Marketplace
entregue;1234;10/09/2024 12:43;8;8 - Entregue;Entregue;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;29,94;0,9;0;9,91;9,91;38,95;38,95;1 - Dica de Madame;;Site
nota-fiscal-emitida;1233;10/09/2024 12:02;6;6 - Nota Fiscal Emitida;Não Enviado;7 - Mercado Livre;8 - Cartão - Elo;5 - Mercado Livre;;31,84;0;0;70,09;70,09;101,93;101,93;1 - Dica de Madame;;Marketplace
transporte;1232;10/09/2024 11:14;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;21,9;0;0;13,5;8,32;35,4;35,4;1 - Dica de Madame;1;Marketplace
transporte;1231;10/09/2024 10:36;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;19,9;0;0;16,22;11,13;36,12;36,12;1 - Dica de Madame;1;Marketplace
transporte;1230;10/09/2024 08:03;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;27,8;0;0;2,99;25;27,8;27,8;1 - Dica de Madame;;Marketplace
entregue;1229;10/09/2024 07:39;8;8 - Entregue;Entregue;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;6,9;0,21;0;8,47;8,47;15,16;15,16;1 - Dica de Madame;;Site
entregue;1228;10/09/2024 06:27;8;8 - Entregue;Entregue;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;6,9;0,21;0;8,26;8,26;14,95;14,95;1 - Dica de Madame;;Site
pagamento-cancelado;1227;10/09/2024 02:19;2;2 - Cancelado Pagamento;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;22,9;3,9;0;5,48;25;19;19;1 - Dica de Madame;;Marketplace
pagamento-cancelado;1226;10/09/2024 01:36;2;2 - Cancelado Pagamento;Não Enviado;26 - Amazon;;33 - Amazon;;26,7;0;0;13,93;0;40,63;40,63;1 - Dica de Madame;;Marketplace
entregue;1225;09/09/2024 23:59;8;8 - Entregue;Entregue;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;103,34;3,1;0;0;10,4;100,24;100,24;1 - Dica de Madame;;Site
transporte;1224;09/09/2024 22:54;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;24,9;0;0;14,42;8,37;39,32;39,32;1 - Dica de Madame;1;Marketplace
transporte;1223;09/09/2024 22:12;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;8,9;0;0;13,58;9,97;22,48;22,48;1 - Dica de Madame;1;Marketplace
entregue;1222;09/09/2024 21:58;8;8 - Entregue;Entregue;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;26,8;0,81;0;8,76;8,76;34,75;34,75;1 - Dica de Madame;;Site
pagamento-cancelado;1221;09/09/2024 21:31;2;2 - Cancelado Pagamento;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;32,9;8;0;8,3;25;24,9;24,9;1 - Dica de Madame;;Marketplace
transporte;1220;09/09/2024 21:31;7;7 - Transporte;Não Enviado;41 - Shopee;1 - Boleto Bancário;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;28,9;7;0;8,3;25;21,9;21,9;1 - Dica de Madame;;Marketplace
entregue;1219;09/09/2024 20:22;8;8 - Entregue;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;68,7;8;0;9,64;25;60,7;60,7;1 - Dica de Madame;;Marketplace
transporte;1218;09/09/2024 20:21;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;22,9;3;0;10,17;25;19,9;19,9;1 - Dica de Madame;;Marketplace
entregue;1217;09/09/2024 20:06;8;8 - Entregue;Entregue;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;4,99;0,15;0;14,42;14,42;19,26;19,26;1 - Dica de Madame;;Site
entregue;1216;09/09/2024 20:02;8;8 - Entregue;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;29,9;0;0;5,48;25;29,9;29,9;1 - Dica de Madame;;Marketplace
transporte;1215;09/09/2024 20:02;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;28,9;2;0;2,99;25;26,9;26,9;1 - Dica de Madame;;Marketplace
entregue;1214;09/09/2024 18:24;8;8 - Entregue;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;65,9;17;0;2,99;25;48,9;48,9;1 - Dica de Madame;;Marketplace
pagamento-cancelado;1213;09/09/2024 17:37;2;2 - Cancelado Pagamento;Não Enviado;26 - Amazon;;33 - Amazon;;43,9;0;0;13,9;0;57,8;57,8;1 - Dica de Madame;;Marketplace
